Category,Skill
AI / ML,Deep Learning (CNN · LSTM · Bi-LSTM · Transformers)
AI / ML,Computer Vision (Object Detection · Depth Estimation · Tracking)
AI / ML,Natural Language Processing
AI / ML,BERT & Large Language Models
AI / ML,AutoML & Ensemble Methods
AI / ML,Transfer Learning & Knowledge Transfer
AI / ML,Neural Networks
AI / ML,Machine Learning
Material Informatics,Material Properties Prediction
Material Informatics,Inverse Learning for Material Design
Material Informatics,Data Fusion (Experimental + Computational)
Material Informatics,Ferroelectric Ceramics Modeling (BaTiO₃)
Frameworks & Libraries,TensorFlow / Keras
Frameworks & Libraries,PyTorch
Frameworks & Libraries,Hugging Face Transformers
Frameworks & Libraries,OpenCV
Frameworks & Libraries,Scikit-learn
Frameworks & Libraries,NumPy / Pandas / Matplotlib
Frameworks & Libraries,Jupyter Notebook
Programming Languages,Python
Programming Languages,C / C++ / C#
Programming Languages,SQL
Programming Languages,HTML / CSS / PHP
Data & Databases,Data Analytics & Data Mining
Data & Databases,Data Science
Data & Databases,MySQL / Relational Databases
Data & Databases,Dataset Creation & Annotation
Data & Databases,Synthetic Data Generation
Data & Databases,WordPress / CMS Management
Tools & IDEs,Git
Tools & IDEs,LaTeX
Tools & IDEs,PyCharm
Tools & IDEs,Visual Studio Code
Tools & IDEs,Visual Studio
